NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,
37,8410,8445,8525,8688,8697,8752,8770,8881,8956,8993,8974,9069,9031,7931,8141,8993,8253,8322,8331,8428,9677,8481,8552,8588,8624,8490,7791,7873,8065,8040,8133,8124,8236,8175,8270,8270,8305,8392,8428,8516,7973,8040,8082,8184,8253,7931,7964,7981,8133,7815,8445,8099,8167,8270,8375,8428,8481,8499,8561,8561,8697,8669,8733,8534,8561,7931,7989,7931,8082,8099,8133,7956,7964,7998,8065,8150,8210,8322,8410,8552,8588,8624,8624,7931,7734,8124,7637,7240,7440,7293,7386,7432,7448,7574,7574,7605,7750,7799,7702,
38,8428,8490,8561,8715,8742,8825,8807,8918,9012,9040,9031,9145,9116,7981,8193,9050,8296,8357,8375,8472,9759,8490,8588,8642,8679,8552,7799,7906,8099,8073,8193,8167,8270,8236,8340,8340,8357,8445,8481,8615,8031,8065,8133,8253,8296,7948,8014,8023,8201,7865,8490,8150,8218,8305,8419,8481,8534,8552,8633,8624,8770,8770,8770,8597,8624,7931,8014,7964,8124,8124,8167,7989,7998,8048,8124,8201,8270,8375,8472,8615,8624,8660,8697,7964,7750,8167,7686,7270,7479,7324,7424,7471,7479,7605,7605,7653,7791,7865,7742,
39,8481,8561,8624,8770,8788,8872,8881,8993,9069,9107,9145,9241,9155,8031,8236,9145,8340,8410,8436,8534,9862,8534,8660,8697,8770,8633,7832,7931,8133,8099,8236,8210,8349,8270,8375,8375,8410,8499,8552,8642,8065,8133,8184,8270,8366,7989,8040,8065,8244,7898,8534,8193,8262,8375,8481,8552,8597,8606,8660,8697,8807,8807,8844,8679,8715,7964,8048,7998,8150,8150,8201,8014,8048,8065,8167,8253,8340,8436,8552,8651,8715,8733,8770,7998,7799,8193,7750,7316,7542,7355,7432,7503,7526,7637,7661,7710,7832,7931,7791,
40,8516,8606,8679,8844,8844,8937,8956,9059,9145,9184,9184,9300,9251,8065,8296,9184,8410,8445,8507,8606,9945,8615,8752,8770,8844,8697,7865,7964,8201,8150,8270,8270,8384,8305,8445,8436,8481,8561,8606,8697,8099,8167,8253,8331,8428,8031,8082,8124,8262,7923,8561,8210,8305,8410,8552,8588,8660,8679,8770,8688,8890,8881,8918,8733,8779,7981,8065,8031,8175,8201,8236,8065,8073,8124,8236,8314,8419,8481,8615,8742,8770,8797,8844,8031,7799,8210,7791,7339,7574,7432,7479,7542,7574,7702,7694,7758,7898,7981,7832,
41,8561,8624,8733,8899,8918,8993,9012,9145,9222,9241,9261,9388,9339,8124,8340,9261,8472,8525,8561,8669,10028,8715,8825,8844,8918,8770,7914,8031,8236,8210,8340,8314,8428,8375,8481,8481,8534,8624,8660,8770,8150,8210,8305,8392,8481,8065,8124,8150,8305,7956,8606,8279,8375,8481,8606,8660,8733,8742,8834,8770,8956,8956,8974,8797,8844,7998,8082,8082,8201,8218,8270,8082,8099,8167,8296,8375,8445,8552,8660,8788,8844,8844,8899,8065,7840,8270,7815,7386,7629,7479,7526,7605,7621,7750,7750,7799,7948,8040,7931,
42,8624,8679,8788,8927,8984,9050,9069,9184,9300,9309,9339,9487,9378,8150,8392,9339,8516,8588,8624,8733,10155,8779,8890,8918,8993,8844,7931,8065,8296,8279,8375,8375,8481,8410,8552,8552,8588,8679,8742,8807,8201,8270,8384,8445,8543,8099,8167,8236,8357,7998,8660,8305,8410,8552,8660,8742,8807,8797,8881,8834,9031,9021,9040,8844,8927,8023,8124,8099,8253,8253,8322,8124,8150,8210,8314,8419,8516,8624,8742,8844,8918,8918,8984,8082,7898,8270,7873,7417,7669,7542,7590,7637,7677,7799,7807,7865,8014,8107,7989,
43,8651,8742,8844,8993,9031,9116,9145,9261,9378,9378,9408,9577,9487,8210,8445,9398,8561,8669,8697,8807,10262,8881,8965,8974,9069,8918,7964,8082,8357,8305,8428,8410,8552,8472,8615,8606,8651,8752,8788,8881,8244,8296,8499,8490,8606,8141,8210,8270,8392,8031,8706,8357,8472,8597,8733,8770,8899,8881,8956,8918,9107,9088,9116,8927,8993,8065,8150,8133,8270,8270,8357,8167,8184,8270,8375,8472,8561,8660,8788,8927,8974,8993,9050,8133,7914,8331,7898,7479,7710,7574,7621,7710,7694,7832,7856,7923,8082,8201,8065,
44,8706,8770,8927,9069,9126,9212,9212,9358,9427,9497,9497,9657,9546,8253,8481,9467,8624,8706,8752,8844,10338,8956,9050,9050,9145,8993,8006,8133,8392,8331,8481,8472,8588,8534,8651,8679,8697,8779,8844,8956,8296,8349,8561,8552,8651,8167,8262,8322,8445,8073,8742,8410,8516,8651,8779,8862,8956,8956,9021,8993,9184,9164,9184,9021,9059,8082,8201,8167,8305,8296,8384,8210,8236,8305,8436,8516,8624,8742,8862,9003,9021,9069,9145,8167,7948,8357,7931,7510,7766,7629,7686,7750,7750,7898,7914,7981,8150,8253,8133,
45,8770,8844,8974,9145,9164,9261,9300,9417,9536,9546,9546,9749,9647,8296,8552,9546,8697,8770,8834,8956,10435,8993,9145,9145,9241,9069,8048,8184,8481,8410,8534,8525,8624,8570,8733,8724,8770,8862,8918,8993,8340,8410,8669,8624,8733,8210,8305,8357,8490,8099,8788,8454,8570,8706,8834,8927,9012,8993,9097,9078,9241,9251,9271,9069,9126,8099,8210,8210,8357,8340,8428,8253,8270,8349,8481,8570,8697,8807,8937,9069,9116,9145,9212,8201,7973,8384,7964,7542,7799,7686,7750,7799,7807,7956,7998,8040,8236,8322,8184,
46,8788,8890,9021,9203,9241,9358,9358,9497,9607,9637,9627,9820,9738,8349,8606,9607,8742,8844,8909,8993,10523,9088,9212,9212,9309,9145,8082,8210,8499,8436,8606,8561,8715,8624,8788,8788,8844,8927,8984,9050,8384,8454,8733,8660,8779,8270,8357,8410,8525,8150,8834,8481,8624,8770,8909,8993,9107,9069,9174,9164,9339,9309,9378,9164,9222,8133,8236,8253,8392,8384,8481,8270,8305,8410,8552,8651,8752,8881,8993,9174,9212,9222,9280,8236,8014,8428,8023,7605,7865,7710,7799,7865,7865,7989,8040,8082,8296,8384,8262,
47,8853,8956,9097,9261,9309,9417,9437,9556,9677,9738,9738,9945,9820,8410,8651,9677,8816,8899,8965,9059,10601,9164,9309,9300,9378,9222,8133,8262,8552,8481,8624,8624,8770,8697,8844,8844,8899,8993,9050,9145,8436,8499,8770,8752,8844,8305,8410,8481,8606,8210,8881,8534,8697,8834,8956,9069,9164,9145,9251,9222,9417,9378,9417,9241,9280,8150,8270,8270,8428,8410,8516,8322,8375,8445,8606,8679,8816,8937,9069,9241,9261,9290,9368,8270,8040,8472,8073,7653,7898,7766,7832,7939,7931,8082,8099,8175,8375,8436,8314,
48,8918,9003,9164,9339,9378,9507,9507,9677,9779,9810,9810,10039,9924,8445,8733,9749,8899,8965,9031,9155,10712,9241,9408,9378,9487,9309,8150,8314,8615,8552,8706,8697,8844,8770,8918,8909,8984,9069,9116,9184,8472,8561,8844,8788,8918,8366,8445,8516,8624,8236,8918,8588,8770,8881,9021,9145,9232,9222,9309,9309,9536,9467,9536,9300,9358,8201,8305,8331,8481,8445,8561,8340,8392,8507,8651,8752,8909,9021,9145,9309,9339,9368,9447,8322,8065,8507,8133,7718,7956,7815,7923,7998,7998,8133,8141,8253,8428,8516,8410,
49,8965,9050,9222,9408,9457,9577,9577,9738,9851,9913,9903,10113,10018,8516,8788,9820,8956,9031,9126,9241,10791,9339,9477,9467,9536,9378,8210,8349,8651,8606,8752,8770,8899,8825,8974,8974,9050,9145,9184,9261,8552,8615,9021,8853,8984,8410,8481,8561,8660,8253,8974,8651,8834,8956,9088,9222,9349,9309,9408,9378,9577,9556,9617,9417,9437,8201,8340,8357,8499,8481,8624,8392,8445,8561,8715,8807,8974,9107,9222,9437,9437,9457,9517,8340,8099,8543,8210,7766,7998,7865,7964,8065,8065,8201,8210,8322,8507,8615,8445,
50,9021,9126,9280,9487,9536,9657,9657,9820,9945,9976,9986,10241,10113,8561,8834,9882,9021,9116,9212,9300,10905,9417,9577,9546,9647,9497,8236,8410,8697,8660,8788,8807,8927,8881,9031,9021,9116,9203,9271,9339,8588,8679,9069,8918,9031,8428,8552,8624,8742,8296,9031,8706,8881,9021,9164,9290,9417,9378,9487,9497,9677,9667,9698,9507,9536,8236,8357,8410,8534,8516,8651,8428,8481,8615,8770,8881,9050,9184,9319,9497,9507,9536,9607,8384,8150,8561,8270,7815,8031,7948,8040,8133,8133,8270,8270,8410,8615,8669,8525,
51,9069,9184,9358,9546,9607,9708,9738,9913,10028,10070,10070,10370,10187,8633,8899,9986,9078,9212,9261,9378,10997,9497,9657,9617,9738,9577,8296,8436,8770,8724,8872,8853,8993,8927,9107,9088,9164,9261,9349,9408,8615,8715,9241,8974,9107,8481,8588,8669,8770,8305,9069,8742,8927,9050,9212,9368,9497,9507,9577,9556,9769,9790,9779,9597,9607,8253,8384,8436,8588,8561,8715,8472,8552,8660,8807,8927,9116,9261,9398,9556,9607,9607,9688,8410,8201,8633,8340,7840,8099,7998,8099,8167,8201,8357,8375,8472,8669,8752,8615,
52,9126,9241,9417,9617,9698,9779,9800,9986,10113,10187,10166,10446,10273,8679,8974,10028,9145,9241,9358,9447,11089,9577,9738,9738,9820,9657,8322,8499,8807,8770,8927,8927,9050,8993,9145,9164,9251,9339,9417,9497,8669,8770,9358,9031,9184,8490,8642,8752,8834,8357,9126,8807,8993,9126,9300,9447,9556,9556,9667,9617,9851,9872,9903,9698,9698,8270,8410,8472,8615,8588,8770,8507,8588,8697,8881,8993,9184,9339,9487,9667,9657,9708,9779,8463,8210,8651,8410,7898,8167,8040,8167,8236,8270,8410,8410,8516,8715,8844,8706,
53,9184,9300,9477,9698,9759,9903,9893,10091,10198,10262,10251,10545,10370,8724,9021,10113,9222,9319,9427,9536,11206,9688,9810,9779,9945,9749,8349,8534,8862,8834,8993,8993,9116,9050,9222,9222,9309,9408,9477,9556,8733,8844,9556,9116,9222,8534,8688,8788,8899,8410,9193,8844,9031,9193,9358,9507,9627,9637,9738,9708,9945,9976,9965,9749,9779,8296,8436,8525,8660,8615,8807,8552,8642,8742,8927,9069,9261,9408,9536,9738,9738,9779,9872,8499,8253,8679,8472,7931,8210,8082,8201,8296,8305,8472,8481,8561,8788,8927,8788,
54,9241,9378,9536,9779,9841,9965,9976,10176,10305,10370,10338,10634,10534,8788,9069,10198,9309,9378,9507,9617,11288,9749,9924,9882,10049,9862,8410,8588,8927,8881,9050,9040,9184,9116,9300,9300,9378,9507,9567,9637,8770,8890,10039,9184,9339,8606,8733,8844,8918,8428,9222,8881,9097,9241,9437,9556,9708,9708,9820,9810,9986,10028,10091,9841,9872,8322,8481,8561,8697,8651,8862,8588,8669,8788,8984,9145,9300,9497,9607,9810,9841,9872,9945,8525,8270,8742,8552,7998,8305,8133,8262,8366,8375,8516,8552,8660,8881,9040,8909,
55,9309,9417,9617,9841,9913,10049,10049,10273,10381,10457,10457,10791,10623,8834,9164,10262,9358,9477,9577,9708,11395,9862,10018,9986,10113,9945,8436,8633,8974,8927,9107,9107,9241,9164,9349,9378,9477,9556,9627,9738,8844,8927,10113,9222,9378,8624,8788,8918,8974,8472,9300,8927,9174,9339,9497,9617,9800,9810,9924,9882,10113,10134,10198,9945,9965,8340,8499,8597,8742,8697,8918,8624,8724,8844,9031,9222,9378,9556,9708,9913,9924,9965,10049,8561,8305,8770,8624,8065,8384,8167,8322,8445,8445,8588,8606,8733,9003,9145,8974,
56,9368,9487,9708,9924,9986,10134,10134,10370,10501,10590,10545,10905,10712,8899,9212,10338,9437,9546,9677,9779,11467,9945,10102,10081,10219,10018,8481,8660,9031,8993,9164,9164,9319,9241,9417,9417,9536,9627,9698,9779,8899,9021,10327,9339,9477,8688,8844,8974,9031,8543,9358,8993,9212,9398,9556,9738,9893,9893,9986,9965,10198,10219,10262,10018,10028,8384,8552,8624,8779,8715,8956,8660,8779,8899,9116,9290,9457,9637,9779,9976,10018,10028,10123,8606,8357,8788,8669,8124,8445,8236,8410,8525,8525,8660,8697,8788,9069,9261,9069,
57,9408,9556,9759,10018,10060,10219,10241,10457,10601,10679,10656,10997,10848,8956,9261,10381,9497,9647,9749,9903,11588,10039,10198,10176,10348,10134,8525,8733,9069,9050,9232,9222,9378,9309,9507,9507,9607,9738,9779,9851,8956,9069,10512,9408,9536,8742,8899,9021,9069,8561,9417,9050,9261,9457,9637,9810,9965,9986,10102,10039,10273,10273,10381,10113,10113,8410,8588,8660,8844,8779,9012,8697,8816,8956,9164,9358,9536,9708,9872,10060,10113,10113,10230,8624,8410,8844,8733,8201,8525,8305,8499,8624,8624,8779,8788,8918,9184,9358,9164,
58,9487,9627,9820,10060,10155,10327,10348,10545,10712,10791,10769,11136,10939,9003,9339,10468,9577,9708,9851,9976,11649,10155,10327,10273,10446,10208,8561,8788,9155,9107,9300,9280,9467,9388,9567,9577,9698,9810,9872,9965,8993,9145,10579,9457,9607,8788,8965,9107,9145,8615,9467,9116,9358,9536,9738,9872,10049,10060,10198,10113,10381,10414,10512,10198,10219,8428,8624,8715,8881,8807,9031,8752,8862,9012,9222,9427,9617,9779,9945,10176,10198,10241,10338,8660,8436,8890,8788,8270,8606,8357,8588,8724,8742,8881,8890,9012,9280,9457,9241,
59,9536,9698,9924,10187,10262,10414,10414,10679,10814,10928,10859,11277,11066,9069,9408,10545,9657,9810,9913,10081,11771,10241,10381,10370,10545,10327,8633,8844,9222,9164,9339,9378,9556,9457,9657,9657,9769,9893,9965,10028,9069,9184,10634,9556,9708,8834,8993,9145,9193,8660,9536,9164,9408,9617,9779,9965,10113,10155,10262,10241,10523,10523,10590,10273,10327,8445,8642,8770,8927,8844,9097,8779,8927,9069,9280,9477,9698,9862,10028,10219,10273,10327,10446,8706,8472,8918,8844,8375,8660,8428,8697,8834,8844,8993,8993,9116,9408,9556,9378,
60,9607,9759,9976,10241,10327,10501,10545,10814,10928,10997,10997,11371,11159,9145,9467,10601,9708,9913,10018,10166,11858,10327,10490,10490,10623,10446,8651,8899,9261,9222,9417,9437,9657,9546,9738,9759,9893,10028,10060,10091,9145,9251,10701,9627,9779,8918,9069,9222,9251,8697,9597,9184,9457,9677,9893,10028,10219,10241,10381,10273,10601,10612,10701,10381,10457,8481,8697,8788,8956,8899,9145,8834,8956,9145,9358,9556,9759,9945,10091,10327,10381,10414,10545,8752,8499,8956,8927,8436,8752,8516,8770,8927,8918,9069,9145,9212,9517,9698,9536,
61,9657,9841,10028,10327,10425,10601,10634,10916,11043,11136,11159,11467,11288,9212,9536,10656,9810,9986,10123,10273,11908,10512,10601,10590,10746,10534,8697,8927,9309,9300,9497,9497,9708,9607,9779,9841,9945,10113,10155,10187,9212,9339,10791,9698,9862,8956,9126,9280,9300,8779,9637,9241,9536,9749,9945,10155,10338,10338,10512,10414,10712,10679,10814,10523,10523,8534,8733,8844,8993,8956,9174,8862,8993,9203,9417,9607,9820,10018,10176,10414,10457,10545,10634,8788,8552,8993,8993,8543,8844,8588,8844,9012,9021,9155,9212,9339,9617,9779,9657,
62,9718,9924,10113,10446,10490,10679,10712,10997,11136,11277,11277,11637,11407,9261,9607,10757,9872,10049,10198,10327,11958,10590,10679,10701,10905,10634,8770,8993,9358,9358,9536,9556,9779,9677,9913,9924,10028,10198,10219,10241,9261,9417,10859,9779,9965,8993,9184,9358,9358,8788,9708,9309,9577,9820,10018,10198,10403,10414,10590,10523,10825,10814,10905,10601,10601,8552,8770,8890,9021,8956,9222,8899,9069,9232,9517,9698,9913,10113,10262,10479,10545,10634,10712,8807,8588,9040,9088,8624,8899,8660,8927,9116,9116,9261,9339,9417,9738,9913,9749,
63,9810,9965,10187,10523,10590,10780,10814,11112,11253,11371,11371,11722,11515,9319,9677,10825,9945,10113,10327,10446,12008,10656,10791,10814,10939,10746,8788,9059,9408,9408,9617,9637,9862,9738,9997,9997,10113,10262,10327,10348,9309,9497,10916,9862,10060,9059,9222,9378,9408,8844,9749,9368,9647,9893,10091,10273,10545,10545,10712,10645,10928,10893,11043,10724,10712,8588,8788,8918,9069,9021,9241,8927,9145,9309,9577,9759,9986,10176,10348,10590,10656,10735,10825,8862,8624,9078,9174,8697,8993,8788,9031,9184,9232,9398,9417,9536,9903,10028,9882,
64,9862,10028,10262,10612,10679,10905,10939,11253,11360,11527,11515,11846,11612,9378,9738,10859,10028,10230,10381,10545,12033,10814,10905,10893,11078,10848,8844,9116,9477,9497,9698,9708,9945,9820,10049,10070,10187,10370,10370,10446,9388,9517,10997,9913,10113,9097,9300,9477,9457,8881,9810,9437,9738,9965,10198,10370,10601,10612,10814,10701,11066,10939,11136,10837,10837,8615,8834,8927,9116,9050,9300,8974,9184,9358,9637,9841,10060,10241,10414,10668,10724,10825,10928,8909,8651,9116,9241,8779,9069,8890,9145,9300,9309,9497,9536,9617,9986,10113,10018,
65,9945,10123,10338,10679,10769,10974,11020,11371,11527,11612,11612,11958,11759,9437,9800,10939,10113,10316,10479,10634,12071,10905,11020,10997,11218,10951,8909,9174,9517,9546,9769,9779,10018,9903,10113,10134,10251,10446,10479,10501,9457,9607,11089,10007,10198,9145,9339,9536,9507,8927,9872,9497,9790,10049,10273,10501,10712,10701,10905,10814,11171,11112,11288,10928,10905,8642,8844,8993,9164,9069,9358,9003,9222,9408,9698,9903,10176,10370,10479,10757,10837,10905,11066,8927,8706,9184,9339,8881,9184,8965,9212,9378,9417,9556,9607,9738,10113,10251,10113,
66,9965,10176,10414,10780,10859,11089,11112,11467,11612,11759,11734,12046,11846,9507,9903,10997,10208,10392,10590,10724,12084,10997,11089,11112,11288,11078,8956,9241,9567,9617,9820,9872,10081,9965,10198,10241,10370,10523,10601,10590,9497,9647,11136,10070,10273,9212,9388,9607,9546,8974,9924,9536,9862,10113,10370,10545,10825,10814,11008,10893,11288,11206,11395,11020,10997,8660,8890,9021,9203,9145,9408,9031,9261,9457,9759,9986,10262,10435,10556,10825,10928,10997,11136,8974,8733,9212,9467,8965,9300,9069,9300,9477,9487,9657,9698,9862,10241,10370,10262,
67,10039,10251,10501,10859,10939,11171,11206,11564,11710,11846,11808,12058,11958,9556,9945,11078,10273,10501,10656,10814,12109,11112,11253,11229,11407,11171,8993,9261,9627,9657,9913,9913,10155,10028,10273,10273,10446,10601,10656,10668,9556,9708,11229,10176,10381,9222,9457,9657,9607,9021,9986,9617,9924,10155,10457,10634,10928,10893,11136,10997,11395,11288,11515,11136,11112,8697,8918,9069,9232,9164,9437,9069,9319,9536,9810,10060,10338,10512,10634,10928,10997,11112,11241,9021,8770,9222,9536,9050,9378,9145,9408,9546,9577,9779,9810,9965,10348,10501,10370,
68,10113,10327,10590,10939,11066,11277,11288,11685,11808,11958,11958,12109,12033,9617,10028,11136,10348,10590,10769,10893,12122,11253,11324,11360,11552,11288,9031,9339,9698,9738,9945,9986,10241,10113,10370,10370,10545,10679,10757,10735,9617,9779,11288,10241,10446,9300,9517,9698,9637,9050,10028,9657,9986,10219,10545,10712,10997,10997,11277,11124,11539,11371,11612,11229,11229,8733,8956,9145,9261,9212,9497,9145,9358,9607,9893,10155,10414,10590,10712,10997,11112,11229,11360,9040,8797,9280,9627,9164,9457,9222,9497,9657,9708,9893,9913,10091,10457,10634,10523,
69,10176,10381,10634,11043,11159,11371,11443,11784,11920,12046,12033,12185,12109,9677,10091,11206,10446,10656,10837,10997,12135,11288,11455,11467,11637,11407,9069,9378,9738,9779,10018,10081,10305,10198,10457,10479,10623,10769,10848,10825,9708,9820,11324,10327,10545,9358,9546,9769,9698,9116,10113,9698,10028,10284,10634,10814,11112,11089,11371,11206,11612,11515,11710,11348,11324,8770,8974,9164,9339,9241,9536,9174,9417,9657,9965,10198,10534,10668,10814,11089,11229,11288,11467,9097,8834,9339,9738,9241,9546,9309,9577,9759,9779,9965,10018,10198,10612,10769,10634,
70,10241,10457,10724,11136,11241,11467,11515,11858,12046,12084,12096,12211,12147,9738,10155,11277,10512,10769,10928,11089,12160,11407,11552,11552,11759,11515,9145,9417,9800,9862,10070,10155,10370,10219,10545,10545,10679,10859,10905,10905,9749,9903,11395,10381,10634,9408,9607,9831,9738,9155,10166,9769,10113,10370,10712,10893,11206,11171,11515,11336,11722,11588,11808,11443,11431,8770,9012,9212,9368,9271,9536,9212,9447,9738,10028,10273,10590,10757,10893,11218,11288,11419,11527,9145,8881,9358,9820,9309,9617,9417,9677,9862,9862,10070,10113,10273,10712,10905,10814,
71,10294,10523,10814,11229,11312,11588,11600,11958,12084,12147,12147,12262,12224,9800,10198,11348,10590,10837,11020,11182,12147,11539,11661,11649,11833,11612,9184,9487,9872,9913,10134,10198,10457,10338,10623,10601,10780,10939,11020,10997,9872,9965,11467,10446,10679,9447,9657,9882,9779,9184,10241,9820,10166,10414,10791,10997,11288,11288,11588,11407,11808,11685,11883,11527,11515,8807,9040,9222,9378,9309,9577,9261,9507,9759,10113,10327,10656,10848,10974,11277,11383,11515,11637,9145,8927,9408,9913,9417,9698,9507,9738,9913,9945,10155,10230,10414,10848,11054,10905,
72,10370,10590,10905,11288,11419,11673,11722,12058,12135,12211,12211,12262,12262,9862,10273,11419,10656,10916,11112,11277,12160,11612,11734,11759,11883,11685,9222,9536,9913,9976,10198,10273,10523,10381,10690,10656,10859,11043,11112,11089,9913,10018,11515,10545,10814,9497,9698,9945,9841,9222,10273,9872,10241,10501,10859,11078,11407,11360,11710,11515,11883,11771,11958,11649,11612,8834,9050,9261,9437,9368,9637,9300,9536,9810,10155,10414,10712,10916,11054,11360,11467,11600,11722,9184,8956,9437,10028,9487,9779,9577,9810,10018,10028,10241,10273,10545,10997,11206,11043,
73,10457,10634,10997,11383,11515,11759,11808,12084,12147,12262,12262,12262,12275,9924,10370,11467,10712,10997,11206,11371,12173,11734,11808,11808,11958,11796,9261,9577,9986,10028,10251,10370,10601,10457,10769,10769,10939,11112,11171,11171,9986,10102,11588,10601,10905,9556,9759,9986,9903,9300,10327,9945,10273,10590,10951,11136,11515,11467,11808,11624,11958,11846,12033,11734,11734,8862,9107,9309,9477,9378,9657,9339,9577,9862,10219,10501,10825,10997,11124,11467,11588,11710,11796,9222,8974,9487,10113,9587,9841,9698,9913,10113,10155,10370,10381,10623,11089,11300,11171,
74,10490,10724,11078,11467,11564,11846,11908,12135,12211,12262,12275,12275,12301,9986,10414,11527,10814,11089,11288,11467,12173,11846,11883,11895,11958,11858,9309,9637,10049,10113,10381,10414,10668,10545,10859,10825,11043,11182,11288,11277,10028,10113,11637,10656,10985,9556,9800,10060,9945,9309,10381,9965,10370,10634,11043,11229,11588,11515,11858,11685,12008,11895,12071,11771,11821,8881,9145,9339,9536,9417,9698,9398,9607,9945,10262,10545,10893,11066,11229,11527,11661,11759,11870,9261,8993,9536,10176,9657,9945,9759,10028,10219,10251,10446,10545,10712,11229,11467,11277,
75,10545,10769,11124,11527,11685,11958,12008,12198,12262,12275,12262,12288,12314,10028,10479,11564,10893,11147,11395,11564,12198,11858,11945,11958,12046,11883,9358,9657,10102,10166,10425,10457,10780,10601,10928,10905,11112,11277,11395,11348,10091,10198,11698,10769,11078,9617,9841,10113,10018,9358,10446,10028,10446,10679,11112,11277,11685,11600,11895,11771,12033,11958,12058,11858,11858,8918,9145,9378,9546,9457,9759,9408,9667,9986,10348,10623,10962,11147,11277,11637,11759,11846,11958,9280,9050,9556,10273,9708,10018,9841,10102,10370,10327,10545,10612,10859,11288,11527,11324,
76,10612,10848,11206,11649,11759,11983,12046,12224,12262,12275,12301,12275,12340,10113,10523,11649,10928,11253,11467,11637,12198,11933,11958,12008,12058,11958,9378,9738,10155,10219,10501,10545,10837,10656,10997,10997,11194,11371,11479,11431,10155,10262,11759,10814,11136,9688,9903,10176,10049,9408,10501,10070,10501,10814,11182,11395,11759,11710,11958,11846,12058,12033,12109,11908,11958,8927,9164,9417,9617,9497,9800,9467,9708,10028,10414,10701,11043,11277,11360,11734,11846,11908,11958,9339,9069,9607,10370,9820,10113,9945,10219,10446,10446,10679,10735,10939,11371,11564,11419,
77,10679,10939,11288,11710,11808,12084,12109,12262,12275,12314,12314,12275,12365,10176,10590,11685,11008,11324,11588,11759,12185,11970,12008,12058,12135,12008,9417,9779,10198,10284,10545,10612,10905,10757,11089,11089,11288,11443,11564,11527,10198,10327,11808,10905,11206,9708,9945,10198,10113,9437,10556,10155,10556,10848,11253,11467,11858,11784,12008,11895,12084,12058,12147,11933,11970,8965,9222,9437,9617,9536,9841,9507,9759,10113,10457,10769,11136,11300,11407,11784,11895,11958,12046,9368,9116,9647,10457,9893,10187,10028,10316,10545,10545,10814,10825,11066,11455,11637,11467,
